YYYYMM,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC
196307,0.1346,0.5055,1.1935,0.0716,-0.4881,-1.7162,1.8097,-1.5418,0.9921,0.0227,-3.1951,-3.4434,-1.91,0.2139,-2.6296,-1.2645,-0.6369,-1.8085,-1.8777,-2.3964,0.9027,0.0536,0.374,0.5538,-2.1444
196308,3.5319,5.0578,4.5159,3.1167,2.6955,6.2964,4.1731,6.3193,4.7358,4.9482,7.1675,5.015,4.1941,4.438,6.9997,6.8788,4.7808,6.3498,5.9395,7.7808,7.4533,4.7155,4.6536,7.1553,6.226
196309,-0.8157,-1.8084,-0.9373,-2.4148,-1.6284,-3.7814,1.2675,-1.4006,-2.0902,-2.1764,-1.5723,-2.8239,-2.7485,-2.6586,-0.7131,-3.5732,-0.7424,-0.1119,-4.4258,-2.7122,-0.1899,0.0981,-2.6037,-1.1841,0.9357
196310,0.8672,-0.3681,2.0029,-0.3071,-0.966,1.6104,6.3845,1.5898,2.4481,0.4267,2.9589,1.081,1.9255,1.4651,3.4111,4.2445,2.3961,2.2507,1.2233,0.7898,11.9071,2.7234,2.6944,4.1178,0.3158
196311,-1.6628,-2.7814,-3.3721,-2.6391,-2.4226,-0.3094,2.138,-0.6061,0.3418,-0.8955,-0.5093,-1.7364,-2.2028,-2.3901,-1.0933,-0.4017,-1.0361,-1.6062,1.9866,1.1376,-4.6505,1.5097,-0.8778,-0.7843,-0.7623
196312,-1.9313,-1.2929,3.1152,0.1523,-2.3147,0.6152,2.751,0.7193,0.8043,-0.5578,2.4837,1.6981,0.3342,0.905,0.3733,0.3157,3.1866,3.3846,0.2778,-3.4158,1.136,2.3465,4.3944,3.1581,0.126
196401,4.8745,7.4316,2.9055,2.0743,4.6784,0.9995,6.0912,3.5633,3.8413,-1.7439,1.8361,2.7456,0.6319,3.6971,2.3475,2.1469,1.826,2.0447,2.6388,-1.528,1.1622,3.966,3.512,2.1185,0.8588
196402,0.7813,0.7469,1.9465,1.94,3.4021,1.6409,2.0066,2.1452,4.6832,2.8553,2.0784,4.3046,2.5016,2.9042,0.5911,4.8932,3.8772,1.5333,3.6554,2.466,1.5792,1.9248,0.9284,2.0115,2.8343
196403,4.8402,1.7471,2.9433,1.8018,1.1714,9.2666,4.6125,4.6227,4.7605,2.9514,6.2736,8.6882,4.7695,4.0591,0.4962,6.7389,3.366,4.5554,3.1338,1.6672,1.8949,1.5449,2.2162,0.1844,1.7962
196404,0.9095,-1.5759,3.5761,-1.502,-0.6811,-0.768,-2.0193,-0.4937,-1.6865,-1.2494,-0.3512,-3.2136,-1.1316,-0.2077,-1.0615,-3.7291,4.9994,0.1152,-2.4146,-0.4654,2.4372,0.1412,1.2476,-1.4352,0.4327
196405,0.7398,0.9733,0.8289,0.3352,0.5279,4.4985,6.0675,3.9848,0.88,0.0671,3.1265,-0.5463,-0.3887,-1.384,0.4871,1.1105,3.5192,2.0595,0.7844,3.4852,3.2084,1.641,0.7834,0.8046,2.2596
196406,2.7663,-0.1021,3.4423,-1.6067,0.3949,3.2771,1.9966,-1.1151,0.9791,2.8045,1.3852,2.8871,1.3096,2.7813,2.6895,3.3027,0.7325,0.8199,1.8704,1.371,1.4335,1.8695,1.0125,1.5789,2.668
196407,2.8795,4.036,1.9132,3.1191,3.7161,4.5734,2.1207,2.5798,2.2015,2.4091,2.6847,1.2561,2.163,4.3625,2.5932,1.8432,1.0476,1.674,1.8554,-0.4656,2.8017,0.3292,0.7201,5.0158,1.2777
196408,0.1441,-0.8281,2.3398,-0.9245,-1.502,-0.1216,-0.8497,-1.321,-1.7477,-2.9017,-3.1918,0.2353,1.3819,-1.328,-0.4877,-0.3417,-0.449,-0.4253,1.0976,1.1513,0.3476,-1.317,-2.8039,-0.0244,-0.9969
196409,5.8379,2.8596,4.7217,3.2635,4.4508,1.1104,2.6059,2.9304,3.6864,2.5726,2.5349,3.7497,1.3214,2.9179,1.7969,4.9258,4.3092,2.5068,4.7513,5.3294,4.1869,1.8644,2.715,3.423,4.9265
196410,1.3308,3.3292,0.1214,3.0736,3.5635,3.1598,2.0209,1.7016,4.1875,0.0391,4.2866,4.6987,1.4299,2.19,1.6579,1.2885,2.1634,2.6819,2.4587,1.7032,0.3334,-0.3199,1.8466,0.4464,0.2243
196411,0.2972,-0.8824,0.4364,0.3932,-0.442,-0.2906,-2.5125,-0.0121,-0.1393,-0.384,0.3157,0.1432,0.0576,1.385,1.4701,0.9452,1.2488,-0.1949,-0.211,-1.5825,0.9322,0.3232,0.929,-1.3268,1.5175
