SPY (5min log-price increments intraday from 9:35am-4pm),AAPL (5min log-price increments intraday from 9:35am-4pm),SPY daily returns,AAPL daily returns
0.000804634,0.003609892,0.015896,0.015383
-7.81E-06,-0.001038761,0.001608,0.005374
-0.001086027,0.001038761,0.002662,0.011102
7.82E-05,-0.000702931,-0.002577,0.010454
7.03E-05,0.000712657,0.002427,-0.001586
0.00188974,0.0008895,0.008671,0.00358
0.000803229,0.000599844,0.000542,-0.00163
-0.000179306,-0.000347234,0.002399,-0.002745
0.00024946,0.000839955,-0.005173,-0.00375
-2.34E-05,0.000645266,0.003881,0.011648
-0.000764186,-0.000356543,0.011056,0.010384
-0.000249657,-0.000528985,0.005276,-0.003169
-6.24E-05,-0.000225753,0.000608,-0.017417
0.000132646,-0.0016814,0.000532,0.016914
-0.00016386,-0.001304301,-0.00114,-0.016375
0.000234077,0.000202083,0.008367,0.062439
0.000499181,0.000401611,-0.00513,-0.004545
-9.36E-05,0.000192229,-0.000455,0.00596
-0.000546043,-0.000623054,-0.003414,0.012811
0.000928096,0.000832275,-0.000381,0.00766
-0.000460041,0.000676017,0.008757,-0.000635
-0.000468055,-0.00113344,0.001585,-0.002346
0.000148241,-4.87E-06,0.014019,0.010019
1.56E-05,0.000236038,-0.000669,0.009333
-1.56E-05,0.000155706,0.002529,0.010475
-0.001319339,-0.000520736,0.002968,0.016744
-0.000390671,2.68E-05,0.001257,0.034593
0.000273486,0.000143591,-0.00738,0.000507
-0.000336007,-0.000413791,0.007435,0.018605
-0.000156321,0.000333481,-0.001256,0.013649
6.25E-05,0.00027741,-0.00466,-0.023142
-0.000641131,-0.001007804,0.011066,0.009122
0.000406619,0.000469948,0.002654,-0.000179
0.000140714,-0.00019477,0.00044,0.025352
1.56E-05,0.000625565,-0.00321,-0.003516
-0.001556749,-0.001646295,0.004403,0.00653
-0.001276934,-0.000872954,0.002188,0.011658
0.000564246,0.001204379,0.00168,0.006413
-0.001489671,-0.000940949,0.002909,0.018354
0.00070591,9.51E-05,-0.003918,0.01313
-7.06E-05,-0.000683043,0.005182,0.003742
0.00022737,-0.000854461,-0.003035,0.001304
-0.000148961,0.000512764,-0.004093,-0.022048
0.000117602,0.000317294,-0.014625,-0.005439
0.000611309,0.001000037,0.006976,0.000811
-0.000423174,-9.75E-05,0.009949,0.021293
-0.000133259,-0.000756107,0.003868,0.005867
-0.000493996,-0.000659011,7.30E-05,0.012528
7.84E-05,-0.000781613,0.01804,0.029167
0.000744762,0.001504061,-0.001085,0.03781
0.000955619,0.002234818,0.005789,-0.006818
-5.48E-05,-0.000177725,-0.002985,1.70E-05
-7.83E-06,0.000443037,0.00392,0.026521
0.000493149,0.00036256,-0.002911,0.008085
-1.57E-05,-0.000245748,-0.001638,-0.00571
-0.000234806,-0.000352912,-0.007204,-0.005245
0.000313063,-0.000133896,0.003233,-0.005489
7.83E-05,0.000365128,0.014035,0.018337
0.000320762,0.00013628,-0.003107,0.012356
0.000531769,0.000496292,-0.004959,0.00511
-0.000226749,0.00017024,-0.001709,-0.012564
0.000641021,0.000853194,0.004136,-0.016906
9.38E-05,-0.000318343,0.007315,0.031824
0.000140644,-0.000544578,-0.004089,0.01728
0.000374953,0.001297745,-0.009911,-0.007961
-0.001172196,-0.000315775,-0.000501,0.015009
0.000781616,0.000318204,-0.011231,0.004024
-0.000390732,-4.37E-05,-0.016785,-0.012244
0.000476672,0.000286552,0.008094,-0.003564
-0.002424794,-0.000937672,0.013066,-0.005477
0.000688926,0.000208987,-0.011888,-0.028165
0.000391224,-9.96E-05,-0.000656,-0.041472
-0.00063386,-0.000133663,0.014827,0.050971
0.001353312,0.001161057,-0.003394,-0.002231
0.000297014,-0.00036906,-0.006421,-0.034356
-0.001399865,-0.000986447,0.00167,-0.024615
-0.002248574,-0.000797644,-0.008409,-0.002234
-0.000149335,-0.002755911,0.003801,-0.019975
0.000447939,0.001812927,0.013692,0.088741
0.000306369,0.00182668,0.006969,-0.00377
0.000102102,-0.000888568,0.001641,-0.007734
7.85E-05,0.000323871,-0.003704,-0.031542
-0.001737019,-0.000642974,0.00622,-0.003168
4.72E-05,-0.000143752,-0.002949,0.006614
-0.001306655,-0.001350811,-0.007661,-0.007099
-4.73E-05,0.000495184,-0.016158,-0.02848
0.000842477,0.000789836,0.00073,0.007483
-0.001031541,-0.000326585,-0.004012,-0.002283
-0.000543759,-0.000341322,-0.005932,0.00176
-0.000906922,-0.001505644,0.002063,0.002354
0.000552138,0.00121299,-0.003014,-0.006678
0.000354785,0.000548657,-0.011061,-0.014981
0.001055725,0.001303376,-0.005742,-0.009047
4.72E-05,0.000301849,-0.003832,-0.012826
0.000865767,-0.000131439,-0.014824,-0.029218
-0.000550856,0.001814278,-0.008559,0.00049
0.000865494,0.001393735,0.017188,0.05826
-0.000377578,-0.000308203,0.001743,-0.007679
4.72E-05,0.002499283,0.00053,0.0244
0.000330373,-0.000687831,0.001966,-0.009184
-0.000117978,0.000283424,-0.003244,-0.00536
0.001532628,0.001328843,0.012112,0.017749
7.85E-05,9.68E-06,-0.01451,0.012057
0.000102084,-0.000701712,-0.002201,-0.002486
-0.000235593,-0.000351041,-0.025177,-0.028975
-0.000251361,0.000234848,-0.000468,0.005882
0.000345605,0.000263835,0.007572,-0.002587
0.001334171,0.000578258,0.022468,0.015333
-7.84E-05,-0.000120947,0.000606,0.000455
0.00074485,0.002396854,0.007952,0.015042
-0.000321393,-0.000898147,-0.01266,-0.015767
0.000243014,0.000256006,0.011452,0.008736
-0.000556668,0.000468369,-0.006395,-0.006943
-0.00038436,-0.000963534,0.0106,-0.001101
0.000392203,0.000190849,0.00502,0.004549
0.000297971,0.000217378,0.001938,0.020292
9.41E-05,0.000627716,0.009673,0.002783
0.000391896,0.000386091,-0.001621,-0.002841
-0.000948651,-0.001351971,-0.022439,-0.013779
-6.28E-05,-0.001039363,0.007702,0.007669
-7.84E-06,0.000604412,-0.016035,-0.019473
-0.000627746,-0.000809996,0.005026,0.002208
-3.14E-05,-9.43E-05,0.009039,0.004327
0.00034532,-3.87E-05,-0.002876,-0.009487
0,0.000246728,0.024964,0.026272
0.000407952,0.000599633,0.002976,0.014589
0.000533225,-0.000169215,0.006608,0.011628
0.000924627,0.000362568,-0.004527,0.017567
0.000250599,0.001123127,-0.009504,-0.006656
-0.000234935,-0.000277645,-0.001255,0.01322
-0.000689461,-0.000893817,-0.00872,-0.009252
-1.57E-05,-0.000628566,0.000149,-0.006215
-0.000940955,-0.000757221,-0.004845,-0.009149
0.001293585,0.001144078,0.016778,0.010135
-0.000203727,-0.000217588,-0.002357,0.003207
-2.35E-05,0.000439963,0.006867,4.90E-05
0.000814677,0.000792412,0.007407,-0.00112
-0.000548267,-0.000531427,0.002621,0.013295
0.00081446,0.000328552,-0.009148,-0.016311
-0.000736118,-0.000461452,-0.010112,-0.000778
0.000939629,0.000664327,-0.008624,-0.004819
-0.000469704,-0.000787579,0.000261,-0.043184
-0.000783331,-0.000120849,0.016497,-0.000156
0,-0.000227236,0.018396,0.017882
7.84E-06,-0.000428021,3.60E-05,0.016867
-0.000407571,-0.001386884,-0.006994,0.026436
0.000242995,0.001452187,-0.000871,-0.006467
0.000235101,0.00042074,-0.006905,0.001615
0.000391711,0.000183716,0.019826,0.013014
0.000485509,0.000106346,0.001945,0.011126
0.000180048,0.000135334,0.005014,-0.002628
-0.000830058,0.000103905,0.001212,-0.001698
0.00070481,0.000833262,0.000854,0.001404
-0.000837997,-0.001855862,0.001636,0.001563
-0.001047182,0.000359151,-0.000497,0.01335
-0.002824192,-0.003188656,0.000142,0.002683
0.0004423,-0.000396577,0.001136,-0.001361
0.001649,0.00203683,0.007379,0.008735
-0.001183217,0.000159292,0.001338,0.018496
-0.000284181,-0.000497269,7.00E-05,0.026292
0.0008523,0.000868852,-0.003024,-0.013663
0.001103753,-0.000337797,0.000423,0.019523
0.000622295,0.000940722,-0.008144,-0.009329
0.000165355,-0.000110911,0.006007,0.000893
0.000236174,0.00013502,0.000212,0.018784
-0.001110503,-0.000723537,-0.000989,-0.001302
-0.000851433,-0.000410237,0.000778,-0.001977
-0.000331309,-0.00028968,-0.007208,-0.014252
0.000165668,-0.000277689,0.004769,0.002067
-0.000394493,0.000120744,-0.000921,0.014626
0.000954406,0.000967838,-0.000851,-0.007023
0.0007802,-0.000424671,0.020297,0.009012
-0.000393964,-1.45E-05,0.003895,0.006166
-1.58E-05,0.000255793,-0.005681,-0.026013
7.88E-06,-0.000289582,0.002787,-0.003244
0.002526576,0.000337838,0.003335,0.013927
0.00102141,0.000458312,0.015236,0.019693
0,0.000891899,0.004434,0.012153
0.000235562,0.000231282,-0.003396,0.012297
0.000470958,3.37E-05,-0.000818,0.003042
0.00047858,0.000108391,0.000546,0.000271
-0.000792527,-3.61E-05,6.80E-05,-0.004843
-0.000235525,-0.000264987,-0.005726,0.001997
7.85E-05,4.82E-05,-0.001542,-0.013291
